Feature,XGBoost_Importance
URLSimilarityIndex,0.63794756
NoOfExternalRef,0.28092676
NoOfDegitsInURL,0.014882669
LineOfCode,0.012456306
NoOfSelfRef,0.009276815
IsHTTPS,0.008001393
NoOfQMarkInURL,0.007933948
NoOfSubDomain,0.0054449593
NoOfOtherSpecialCharsInURL,0.0038670558
SpacialCharRatioInURL,0.003686187
HasSocialNet,0.0035926295
URLLength,0.002921637
HasDescription,0.002261794
DomainTitleMatchScore,0.0019891274
DomainLength,0.0018056266
HasCopyrightInfo,0.0008372296
NoOfLettersInURL,0.0008120464
NoOfImage,0.00045623098
NoOfCSS,0.00016939508
LetterRatioInURL,0.00015185706
LargestLineLength,0.000119605495
URLCharProb,0.00011900846
NoOfJS,9.420175e-05
DegitRatioInURL,8.6934444e-05
CharContinuationRate,8.065644e-05
TLDLegitimateProb,7.833582e-05
Bank,0.0
HasHiddenFields,0.0
HasPasswordField,0.0
NoOfObfuscatedChar,0.0
Pay,0.0
Crypto,0.0
ObfuscationRatio,0.0
IsDomainIP,0.0
NoOfEmptyRef,0.0
HasSubmitButton,0.0
NoOfPopup,0.0
HasExternalFormSubmit,0.0
NoOfiFrame,0.0
NoOfAmpersandInURL,0.0
NoOfURLRedirect,0.0
IsResponsive,0.0
Robots,0.0
HasFavicon,0.0
URLTitleMatchScore,0.0
NoOfEqualsInURL,0.0
HasTitle,0.0
TLDLength,0.0
HasObfuscation,0.0
NoOfSelfRedirect,0.0
