feature,importance
NoOfExternalRef,0.73945934
LineOfCode,0.12741987
NoOfSelfRef,0.03228164
NoOfOtherSpecialCharsInURL,0.022127425
HasDescription,0.012182155
HasSocialNet,0.011262862
IsHTTPS,0.008045783
NoOfImage,0.007657109
URLLength,0.0074698213
NoOfDegitsInURL,0.005550913
NoOfSubDomain,0.0054531316
HasCopyrightInfo,0.00256277
SpacialCharRatioInURL,0.0024758226
DomainTitleMatchScore,0.0020713452
NoOfLettersInURL,0.0020389594
LetterRatioInURL,0.0013146304
NoOfCSS,0.0012646485
URLTitleMatchScore,0.001248737
NoOfQMarkInURL,0.0011878386
DomainLength,0.0010150237
DegitRatioInURL,0.0009908227
NoOfJS,0.0009107399
TLDLength,0.00087229337
LargestLineLength,0.0005106206
HasPasswordField,0.00046136175
HasTitle,0.0003898274
NoOfEmptyRef,0.00035967302
Pay,0.00025433977
NoOfPopup,0.00020781773
HasFavicon,0.00018073691
IsResponsive,0.00016504992
Bank,0.00013808014
NoOfiFrame,0.0001298741
NoOfURLRedirect,0.000103934435
HasSubmitButton,8.16686e-05
Crypto,5.656791e-05
HasHiddenFields,5.4082397e-05
Robots,3.550199e-05
NoOfSelfRedirect,7.1074587e-06
HasObfuscation,0.0
HasExternalFormSubmit,0.0
NoOfEqualsInURL,0.0
NoOfObfuscatedChar,0.0
ObfuscationRatio,0.0
IsDomainIP,0.0
NoOfAmpersandInURL,0.0
